7.033770000000000000e+07 3.118710000000000014e-22
8.143340000000000000e+07 7.992109999999999814e-22
8.375720000000000000e+07 8.637100000000000462e-22
1.107384000000000000e+08 6.270900000000000792e-22
1.532114000000000000e+08 6.456090000000000927e-22
1.798399000000000000e+08 8.892169999999999716e-22
1.938693000000000000e+08 1.079625000000000151e-21
2.322604000000000000e+08 1.224745000000000157e-21
3.838873000000000000e+08 2.170844000000000065e-21
3.911387000000000000e+08 2.300956000000000085e-21
3.952581000000000000e+08 2.008734000000000225e-21
4.145985000000000000e+08 2.008734000000000225e-21
5.949414000000000000e+08 2.661383000000000180e-21
9.576328000000000000e+08 3.424936000000000278e-21
1.375363600000000000e+09 4.000043999999999979e-21
2.582032200000000000e+09 4.450520000000000910e-21
2.951180100000000000e+09 4.537714999999999601e-21
3.097420300000000000e+09 4.158319000000000310e-21
3.310569500000000000e+09 4.365000000000000162e-21
3.316027400000000000e+09 3.424936000000000278e-21
3.712501300000000000e+09 4.407551000000000948e-21
4.123915600000000477e+09 4.407551000000000948e-21
4.246066900000000000e+09 4.078414000000000839e-21
4.761890100000000000e+09 4.078414000000000839e-21
4.852159200000000000e+09 4.281123000000000454e-21
4.991274700000000000e+09 4.537714999999999601e-21
5.088909100000000000e+09 4.365000000000000162e-21
5.091927900000000000e+09 4.000043999999999979e-21
5.093941400000000000e+09 3.773854000000000070e-21
7.755288200000000000e+09 3.810643999999999277e-21
7.966082700000000000e+09 5.000000000000000478e-21
9.285526900000000000e+09 4.717266000000000030e-21
1.457855260000000000e+10 3.492038000000000711e-21
1.558588380000000000e+10 3.526079999999999879e-21
1.577807750000000000e+10 2.368907000000000221e-21
1.813512410000000000e+10 4.322858000000000105e-21
